"datasourceId","datasourceName","datasourceType"
"cancer_gene_census","CGC (COSMIC)","Somatic"
"intogen","IntOgen","Somatic"
"cancer_biomarkers","Cancer Biomarkers (CGI)","Somatic"
"crispr","Project Score","Functional genomics (cancer)"
"slapenrich","SlapEnrich","Functional genomics (cancer)"
"progeny","Progeny","Functional genomics (cancer)"
"eva_somatic","ClinVar (Somatic)","Somatic"
"ot_genetics_portal","OT Genetics Portal","Common disease"
"phewas_catalog","Phewas Catalog","Common disease"
"eva","ClinVar","Rare mendelian"
"clingen","Clingen","Rare mendelian"
"genomics_england","GEL PanelApp","Rare mendelian"
"orphanet","Orphanet","Rare mendelian"
"gene2phenotype","gene2phenotype","Rare mendelian"
"uniprot_literature","Uniprot (gene-disease)","Rare mendelian"
"uniprot_variants","Uniprot (variants)","Rare mendelian"
"reactome","Reactome","Functional genomics (cancer)"
"impc","Mouse model (IMPC)","Mouse model"
"europepmc","Literature (EPMC)","Literature"
"expression_atlas","ExpressionAtlas (Diff expression)","Differential Expression"
"chembl","drugs","Drugs"
"gene_burden", "Gene burden", "Common disease"
